Enquiry.Date,Enquiry.Time,Allocated.Time,Web.or.Phone,Answered by specialist,ConversationRCD,TempSent,Holiday.Type,Accom.type,Dep.Airport,Dep.Date,Lead.Time,Destination,Duration,Adults,Children,Infants,Transport.Type,Answered.Q,Notes.Completed,Title,Enquiry.Comments,Booked.Status
5/29/2017,10:18:38,Fast,WEB,Yes,1,5,B,grade2,NC,4/29/2018,48, CC City,14,2,0,0,B,NO,NO,Ms,NO,YES
5/14/2018,11:10,Fast,WEB,,12,2,C,grade1,Any Airport,10/14/2019,74, AC,14,4,2,1,B,NO,NO,Ms,NO,YES
11/4/2018,13:40,Fast,PHONE,Yes,7,3,A,grade1,MCH,5/5/2019,26, JH Area,14,2,0,0,A,YES,NO,Ms,YES,YES
1/2/2019,11:09,Fast,PHONE,,3,1,A,grade2,B,7/10/2019,27, DC Drive,14,2,2,0,B,YES,NO,Ms,NO,YES
9/21/2018,13:12,Fast,PHONE,Yes,3,4,B,grade2,Lon All,8/14/2019,47, AC Keys,17,2,2,0,A,YES,NO,Ms,YES,YES
9/18/2017,20:08:07,Fast,PHONE,,11,6,A,grade1,MCH,3/30/2018,27, AB,14,2,2,0,A,NO,NO,Ms,NO,YES
1/15/2018,12:46,Fast,PHONE,,0,1,A,grade1,Lon Gat,3/26/2019,62, AB,14,3,2,0,B,YES,YES,Ms,NO,YES
4/22/2018,15:34,Fast,PHONE,Yes,21,4,A,grade2,Lon All,5/23/2019,56, AA Resort,14,2,3,0,B,NO,NO,Ms,NO,YES
10/29/2017,17:50:08,Fast,PHONE,Yes,7,3,E,,Lon All,2/9/2018,14, Daytona Beach,14,3,0,0,A,YES,YES,Ms,NO,YES
1/1/2019,14:06,Fast,PHONE,Yes,1,1,A,grade2,Lon All,8/16/2020,85, AA Resort,14,1,1,0,B,YES,NO,Ms,NO,YES
5/21/2017,19:48:38,Fast,PHONE,Yes,1,1,A,grade2,Lon Heathrow,3/28/2018,44, AC,10,4,0,0,None Required,NO,NO,Ms,NO,YES
