"","Allocated.Time","Web.or.Phone","Answered.by.specialist","Holiday.Type","Accom.type","Dep.Airport","Lead.Time","Destination","Duration","Adults","Children","Infants","Transport.Type","Answered.Q","Notes.Completed","Title","Enquiry.Comments","Booked.Status","EnquiryYear","EnquiryMonth","EnquiryDay","EnquiryWeekday","DepYear","DepMonth","DepDay","DepWeekday","Enquiry.Timecat","Enquiry.Time_class","DepartureSeason","Gender"
"1","Fast","WEB","1","B","grade2","OTHER",48," CC City",14,2,0,0,"B","NO","NO","Ms","NO","1","2017","5",29,"Monday","2018","4",29,"Sunday","Business_Hour","morning","spring","F"
"2","Fast","WEB","0","OTHER","grade1","Any Airport",74," AC",14,4,2,1,"B","NO","NO","Ms","NO","1","2018","5",14,"Monday","2019","10",14,"Monday","Business_Hour","morning","fall","F"
"3","Fast","PHONE","1","A","grade1","MCH",26," JH Area",14,2,0,0,"A","YES","NO","Ms","YES","1","2018","11",4,"Sunday","2019","5",5,"Sunday","Business_Hour","afternoon","spring","F"
"4","Fast","PHONE","0","A","grade2","OTHER",27," DC Drive",14,2,2,0,"B","YES","NO","Ms","NO","1","2019","1",2,"Wednesday","2019","7",10,"Wednesday","Business_Hour","morning","summer","F"
"5","Fast","PHONE","1","B","grade2","Lon All",47,"OTHER",17,2,2,0,"A","YES","NO","Ms","YES","1","2018","9",21,"Friday","2019","8",14,"Wednesday","Business_Hour","afternoon","summer","F"
"6","Fast","PHONE","0","A","grade1","MCH",27," AB",14,2,2,0,"A","NO","NO","Ms","NO","1","2017","9",18,"Monday","2018","3",30,"Friday","Business_Hour","night","spring","F"
"7","Fast","PHONE","0","A","grade1","Lon Gat",62," AB",14,3,2,0,"B","YES","YES","Ms","NO","1","2018","1",15,"Monday","2019","3",26,"Tuesday","Business_Hour","morning","spring","F"
"8","Fast","PHONE","1","A","grade2","Lon All",56," AA Resort",14,2,3,0,"B","NO","NO","Ms","NO","1","2018","4",22,"Sunday","2019","5",23,"Thursday","Business_Hour","afternoon","spring","F"
"9","Fast","PHONE","1","E","None","Lon All",14,"OTHER",14,3,0,0,"A","YES","YES","Ms","NO","1","2017","10",29,"Sunday","2018","2",9,"Friday","Business_Hour","afternoon","winter","F"
"10","Fast","PHONE","1","A","grade2","Lon All",85," AA Resort",14,1,1,0,"B","YES","NO","Ms","NO","1","2019","1",1,"Tuesday","2020","8",16,"Sunday","Business_Hour","afternoon","summer","F"
"11","Fast","PHONE","1","A","grade2","Lon Heathrow",44," AC",10,4,0,0,"None Required","NO","NO","Ms","NO","1","2017","5",21,"Sunday","2018","3",28,"Wednesday","Business_Hour","night","spring","F"
"12","Fast","PHONE","1","E","grade2","Lon Gat",54," AC",14,4,0,0,"A","YES","YES","Ms","NO","1","2017","5",27,"Saturday","2018","6",8,"Friday","Business_Hour","afternoon","summer","F"
"13","Fast","PHONE","0","A","grade1","MCH",28," AC",14,2,0,0,"A","NO","NO","Ms","NO","1","2017","3",21,"Tuesday","2017","10",6,"Friday","Business_Hour","afternoon","fall","F"
"14","Fast","PHONE","1","E","None","Lon All",45," PP Area",14,5,2,0,"None Required","YES","NO","Ms","YES","1","2018","9",12,"Wednesday","2019","7",24,"Wednesday","Business_Hour","afternoon","summer","F"
"15","Fast","PHONE","1","A","grade1","BH",31," PP Area",14,6,2,0,"A","YES","YES","Ms","YES","1","2019","1",6,"Sunday","2019","8",17,"Saturday","Business_Hour","night","summer","F"
"16","Fast","PHONE","1","A","grade1","GG",45," AC",14,4,0,0,"A","YES","YES","Ms","NO","1","2017","8",11,"Friday","2018","6",21,"Thursday","Business_Hour","morning","summer","F"
"17","Fast","PHONE","0","A","grade2","Lon All",81," NM AB Resort",13,5,1,0,"None Required","YES","NO","Ms","YES","1","2018","8",25,"Saturday","2020","3",10,"Tuesday","Business_Hour","morning","spring","F"
"18","Fast","PHONE","1","A","grade1","ED",39," AB",14,4,0,0,"A","NO","NO","Ms","NO","1","2017","4",2,"Sunday","2018","1",6,"Saturday","Business_Hour","morning","winter","F"
"19","Fast","PHONE","0","A","grade2","Lon Heathrow",59," AB",9,2,0,0,"None Required","YES","YES","Ms","NO","1","2017","4",2,"Sunday","2018","5",25,"Friday","Business_Hour","afternoon","spring","F"
"20","Fast","PHONE","0","A","grade2","Lon All",63," AB",14,4,0,0,"A","YES","YES","Ms","NO","1","2018","5",30,"Wednesday","2019","8",14,"Wednesday","Business_Hour","afternoon","summer","F"
"21","Fast","PHONE","0","A","grade1","Lon Gat",66," AB",14,3,3,0,"B","YES","NO","Ms","NO","1","2017","2",13,"Monday","2018","5",26,"Saturday","Business_Hour","morning","spring","F"
"22","Fast","PHONE","0","B","grade2","Lon All",51," LA",21,11,1,0,"A","NO","NO","Ms","YES","1","2018","8",1,"Wednesday","2019","7",23,"Tuesday","Business_Hour","afternoon","summer","F"
"23","Fast","PHONE","0","A","grade1","Lon All",83," AB",14,8,0,0,"A","YES","YES","Ms","NO","1","2018","1",7,"Sunday","2019","8",15,"Thursday","Business_Hour","afternoon","summer","F"
"24","Fast","PHONE","0","A","grade1","MCH",56," AC",14,2,1,0,"A","NO","NO","Ms","NO","1","2018","5",14,"Monday","2019","6",14,"Friday","Business_Hour","morning","summer","F"
"25","Fast","PHONE","0","A","grade1","Lon Heathrow",67," JH Area",14,4,0,0,"A","NO","NO","Ms","NO","1","2017","5",11,"Thursday","2018","8",23,"Thursday","Business_Hour","afternoon","summer","F"
